Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2,cluster
60109.01,52,34.74,0,1,2,0,0,1155.9425,2
61155.0,70,31.35,0,0,2,1,1,873.6429,1
61155.0,70,31.35,0,3,2,1,1,873.6429,1
61500.0,66,31.29,0,3,2,0,1,931.8182,2
62121.45,48,41.95,0,2,2,0,0,1294.1969,2
63106.0,69,33.47,0,0,2,0,0,914.5797,2
63106.27,50,40.99,1,2,2,0,0,1262.1254,2
63106.27,50,40.75,1,0,2,0,0,1262.1254,2
64000.0,62,40.9,0,1,2,0,0,1032.2581,2
65331.34,68,42.12,1,2,2,0,0,960.755,2
65360.0,40,28.35,0,0,2,1,1,1634.0,1
65558.0,72,40.98,0,3,2,1,0,910.5278,1
65800.0,64,39.61,1,0,2,0,0,1028.125,2
66000.0,58,58.45,0,2,2,0,0,1137.931,2
66000.0,82,29.95,0,1,2,0,1,804.878,2
66000.0,70,37.09,0,0,2,0,0,942.8571,2
66000.0,89,35.87,0,2,3,0,0,741.573,0
66111.33,60,43.85,1,0,2,0,1,1101.8555,2
66120.5,73,36.89,0,3,2,1,0,905.7603,1
67000.0,63,42.61,0,3,2,0,0,1063.4921,2
67374.45,82,48.77,0,2,2,0,0,821.6396,2
67843.0,82,35.6,0,3,2,0,0,827.3537,2
68000.0,125,39.71,0,0,3,1,0,544.0,0
68131.57,40,26.63,0,0,2,1,0,1703.2893,1
68466.87,84,47.32,0,2,2,0,0,815.0818,2
68816.0,65,39.91,0,0,2,1,0,1058.7077,1
69116.0,52,58.08,1,1,2,0,1,1329.1538,2
69116.39,70,25.5,0,2,2,1,0,987.377,1
69116.39,68,31.55,1,1,2,1,0,1016.4175,1
69150.8,62,27.68,0,2,2,0,0,1115.3355,2
70017.91,91,45.81,0,0,2,0,1,769.4276,2
70215.33,105,13.9,0,0,2,1,0,668.7174,1
70467.36,40,27.67,0,0,2,1,0,1761.684,1
70496.38,125,30.58,0,0,3,0,0,563.971,0
70618.92,83,36.65,1,3,2,1,0,850.8304,1
71563.38,79,32.39,0,2,2,1,1,905.8656,1
72000.0,50,41.91,1,0,2,0,0,1440.0,2
72000.0,69,32.02,0,1,2,1,0,1043.4783,1
72000.0,50,41.78,1,1,2,0,0,1440.0,2
72000.0,64,42.24,1,3,2,0,0,1125.0,2
72000.0,63,33.19,1,0,2,1,0,1142.8571,1
72000.0,74,36.03,0,2,2,1,1,972.973,1
72088.83,83,41.78,0,2,2,0,0,868.5401,2
72120.0,61,21.58,0,2,2,1,1,1182.2951,1
72121.0,40,11.77,0,2,2,1,1,1803.025,1
72121.45,64,39.67,1,0,2,0,0,1126.8977,2
72121.45,69,37.85,1,3,2,0,0,1045.2384,2
72121.45,50,41.1,1,3,2,0,0,1442.429,2
72121.45,48,61.67,0,3,2,0,0,1502.5302,2
72121.45,62,38.95,1,1,2,0,0,1163.2492,2
72121.46,91,41.82,1,0,2,0,0,792.5435,2
72123.0,60,40.46,1,3,2,0,0,1202.05,2
72125.0,64,27.45,1,0,2,1,0,1126.9531,1
72150.65,185,46.18,0,0,3,0,1,390.0035,0
72329.01,76,36.45,0,3,2,1,0,951.6975,1
73131.58,76,27.57,0,0,2,1,1,962.2576,1
73235.0,125,5.08,1,2,2,1,0,585.88,1
73398.0,66,22.98,0,2,2,1,1,1112.0909,1
73500.0,75,26.39,0,0,2,1,0,980.0,1
73623.98,78,53.02,1,1,3,0,0,943.8972,0
73852.0,84,47.88,0,3,2,0,1,879.1905,2
74000.0,82,28.59,0,2,2,1,1,902.439,1
74197.5,55,47.21,0,0,2,1,0,1349.0455,1
74525.5,70,33.99,0,1,2,0,0,1064.65,2
74525.5,82,35.87,0,3,2,0,0,908.8476,2
74553.77,80,32.74,0,0,2,1,1,931.9221,1
75000.0,52,44.3,0,1,2,0,0,1442.3077,2
75126.5,76,36.34,1,3,2,1,0,988.5066,1
75126.51,72,36.01,1,3,2,1,0,1043.4237,1
75126.51,48,41.5,0,3,2,0,0,1565.1356,2
75126.52,86,21.84,1,2,2,1,1,873.5642,1
76329.0,48,41.94,1,3,2,0,0,1590.1875,2
76484.0,52,52.64,0,0,2,0,0,1470.8462,2
77732.76,80,27.39,1,0,2,1,0,971.6595,1
78000.0,66,33.39,1,2,2,0,0,1181.8182,2
78100.0,61,35.67,0,0,2,0,0,1280.3279,2
78131.57,76,34.63,0,3,2,1,1,1028.047,1
78131.57,65,39.61,1,3,2,0,0,1202.0242,2
78131.57,62,40.48,1,3,2,0,0,1260.1866,2
78131.57,60,39.46,0,1,2,0,0,1302.1928,2
78131.58,60,48.03,0,1,2,0,1,1302.193,2
78132.0,55,41.59,1,2,2,0,0,1420.5818,2
78132.0,55,37.28,0,1,2,0,0,1420.5818,2
78132.0,74,34.74,0,0,3,0,0,1055.8378,0
78214.32,79,28.49,1,2,2,1,1,990.0547,1
78214.32,79,28.72,1,2,2,1,1,990.0547,1
78733.0,40,34.22,0,3,2,0,0,1968.325,2
79734.61,63,43.59,0,3,2,0,0,1265.6287,2
79950.0,71,34.78,0,2,2,0,0,1126.0563,2
80000.0,61,41.05,0,2,2,0,0,1311.4754,2
80000.0,84,47.76,0,2,2,0,1,952.381,2
80902.62,79,30.28,0,2,2,1,0,1024.0838,1
81135.0,66,34.74,0,3,2,0,0,1229.3182,2
81136.0,55,38.43,1,0,2,0,0,1475.2,2
81136.0,65,32.18,0,3,2,0,0,1248.2462,2
81136.63,95,31.47,0,1,2,1,1,854.0698,1
81136.63,63,43.49,0,3,2,0,0,1287.883,2
81136.63,79,52.44,0,3,2,0,0,1027.0459,2
82170.14,125,10.86,1,0,2,1,1,657.3611,1
82356.0,56,37.89,1,0,2,1,0,1470.6429,1
82639.17,66,4.88,0,0,2,1,1,1252.1086,1
82831.24,125,10.67,0,2,3,0,1,662.6499,0
83818.0,135,10.4,0,0,2,0,1,620.8741,1
84000.0,48,23.21,0,2,2,1,1,1750.0,1
84000.0,56,37.08,0,0,2,0,0,1500.0,2
84000.0,66,43.21,1,0,2,0,0,1272.7273,2
84000.0,66,41.82,1,0,2,0,0,1272.7273,2
84000.0,78,39.65,0,0,3,0,0,1076.9231,0
84141.0,65,39.93,1,2,2,0,0,1294.4769,2
84141.0,50,41.88,1,1,2,0,0,1682.82,2
84141.0,84,42.05,0,2,2,0,0,1001.6786,2
84141.69,55,37.87,1,0,2,0,0,1529.8489,2
84141.69,55,32.21,0,0,2,0,0,1529.8489,2
84141.69,74,39.03,1,3,2,1,0,1137.0499,1
84141.69,52,40.59,1,2,2,0,0,1618.1094,2
84142.0,56,33.34,0,1,2,1,0,1502.5357,1
84142.0,56,67.57,1,1,2,0,0,1502.5357,2
84142.0,60,29.55,0,1,2,0,1,1402.3667,2
84142.0,52,39.68,1,3,2,0,0,1618.1154,2
